omega &   Ids                  &     peri              &   apo                     &   eccentricity           &    Zmax                    &   Lzmax             & Lzmin \\ 
  35  &   2M17535944$+$4708092 &  2.03$^{3.08}_{1.38}$ &  16.97$^{19.31}_{15.39}$  &  0.78$^{ 0.83}_{ 0.72}$  &   9.55$^{  9.99}_{  9.17}$ & $  -85.0 ^{   -50.0  }_{  -125.0 }$ & $  -102.0 ^{  -74.0  }_{  -134.0  }$ \\ 
  40  &   2M17535944$+$4708092 &  2.20$^{2.98}_{1.41}$ &  17.31$^{19.67}_{15.67}$  &  0.77$^{ 0.83}_{ 0.73}$  &   9.64$^{  9.97}_{  9.32}$ & $  -93.0 ^{   -57.0  }_{  -121.0 }$ & $  -107.0 ^{  -80.0  }_{  -134.0  }$ \\ 
  45  &   2M17535944$+$4708092 &  2.21$^{3.03}_{1.60}$ &  17.62$^{20.46}_{15.71}$  &  0.77$^{ 0.81}_{ 0.74}$  &   9.77$^{ 10.07}_{  9.47}$ & $  -92.0 ^{   -64.84 }_{  -124.0 }$ & $  -101.0 ^{  -78.0  }_{  -142.0  }$ \\ 
  50  &   2M17535944$+$4708092 &  2.17$^{3.14}_{1.63}$ &  18.53$^{19.39}_{15.51}$  &  0.78$^{ 0.80}_{ 0.72}$  &   9.96$^{ 10.30}_{  9.59}$ & $  -91.0 ^{   -65.0  }_{  -128.0 }$ & $  -110.0 ^{  -75.0  }_{  -136.0  }$ \\ 
  45  &   2M17492967$-$2328298 &  0.14$^{0.32}_{0.01}$ &   2.01$^{ 3.11}_{ 1.31}$  &  0.87$^{ 0.97}_{ 0.78}$  &   1.25$^{  1.56}_{  1.00}$ & $   -2.0 ^{    4.0   }_{   -7.0  }$ & $   -24.5 ^{   -12.0 }_{   -36.0  }$ \\  
  50  &   2M17492967$-$2328298 &  0.13$^{0.23}_{0.02}$ &   2.24$^{ 3.16}_{ 1.36}$  &  0.87$^{ 0.97}_{ 0.80}$  &   1.24$^{  1.52}_{  0.98}$ & $   -2.0 ^{    4.0   }_{   -4.0  }$ & $   -27.0 ^{   -11.0 }_{   -34.0  }$ \\  
  35  &   2M17534571$-$2949362 &  1.30$^{2.12}_{0.89}$ &   5.79$^{ 6.58}_{ 5.61}$  &  0.62$^{ 0.70}_{ 0.51}$  &   0.70$^{  0.82}_{  0.58}$ & $  -44.0 ^{   -31.84 }_{  -70.0  }$ & $  -84.0  ^{  -78.0  }_{  -97.0   }$ \\ 
  40  &   2M17534571$-$2949362 &  1.52$^{2.11}_{0.89}$ &   5.84$^{ 6.85}_{ 5.10}$  &  0.58$^{ 0.69}_{ 0.52}$  &   0.78$^{  0.99}_{  0.55}$ & $  -51.0 ^{   -30.0  }_{  -70.0  }$ & $  -81.0  ^{  -68.0  }_{  -100.0  }$ \\ 
  45  &   2M17534571$-$2949362 &  1.55$^{2.02}_{0.99}$ &   5.89$^{ 8.14}_{ 5.38}$  &  0.60$^{ 0.68}_{ 0.57}$  &   1.03$^{  1.67}_{  0.58}$ & $  -51.0 ^{   -33.0  }_{  -67.0  }$ & $  -81.0  ^{  -71.0  }_{  -117.0  }$ \\ 
  50  &   2M17534571$-$2949362 &  1.44$^{1.67}_{1.08}$ &   7.32$^{ 7.69}_{ 5.22}$  &  0.64$^{ 0.69}_{ 0.62}$  &   0.88$^{  1.56}_{  0.56}$ & $  -48.0 ^{   -35.0  }_{  -56.0  }$ & $  -99.0  ^{  -69.0  }_{  -107.0  }$ \\ 
  35  &   2M11462612$-$1419069 &  2.69$^{2.95}_{2.54}$ &   9.83$^{ 9.96}_{ 9.69}$  &  0.56$^{ 0.59}_{ 0.53}$  &   3.82$^{  4.16}_{  3.53}$ & $  -87.0 ^{   -81.0  }_{  -93.0  }$ & $  -133.0 ^{  -128.0 }_{  -139.0  }$ \\ 
  40  &   2M11462612$-$1419069 &  3.37$^{3.55}_{3.24}$ &   9.12$^{ 9.24}_{ 9.02}$  &  0.46$^{ 0.48}_{ 0.43}$  &   3.89$^{  4.11}_{  3.65}$ & $ -103.0 ^{  -99.0   }_{ -106.0  }$ & $ -122.0  ^{ -118.0  }_{ -127.0   }$ \\
  45  &   2M11462612$-$1419069 &  3.54$^{3.73}_{3.36}$ &   9.43$^{ 9.61}_{ 9.21}$  &  0.45$^{ 0.48}_{ 0.42}$  &   4.02$^{  4.29}_{  3.78}$ & $ -107.0 ^{  -103.0  }_{ -111.0  }$ & $ -121.0  ^{ -117.0  }_{ -125.0   }$ \\
  50  &   2M11462612$-$1419069 &  3.51$^{3.69}_{3.39}$ &   9.38$^{ 9.66}_{ 9.25}$  &  0.45$^{ 0.48}_{ 0.43}$  &   3.83$^{  4.15}_{  3.48}$ & $ -112.0 ^{  -108.0  }_{ -117.0  }$ & $ -122.0  ^{ -119.0  }_{ -126.0   }$ \\
