#  APOGEE$-$ID         &   \texttt{Payne} [Fe/H] & $J_{2MASS}-K_{s,2MASS}$  & $\langle A_{K}^{WISE} \rangle$ &  \textit{E(B-V)} & T$^{pho}_{\rm eff}$ & log$^{\rm iso}$ \textit{g} & \texttt{Payne} T$_{\rm eff}$  & \texttt{Payne} log \textit{g} & \textit{RV$_{SCATTER}$} & N$_{\rm visits}$ & [Fe/H]sp   &    [C/Fe]sp   &   [N/Fe]sp  &   [O/Fe]sp  &   [Mg/Fe]sp  &  [Al/Fe]sp   &   [Si/Fe]sp  & [Ce/Fe]sp     &   [Nd/Fe]sp  &   [Na/Fe]sp  &   [Fe/H]pho  &   [C/Fe]pho   &  [N/Fe]pho   &  [O/Fe]pho   &   [Mg/Fe]pho  &   [Al/Fe]pho  &   [Si/Fe]pho  &   [Ce/Fe]pho  &   [Nd/Fe]pho  &  [Na/Fe]pho  &    Classification          \\
  2M17294680$-$2644220 &    -0.912               &    1.486                 &    0.493                       &    ...           &    ...              &    ...                     &    4486.78                    &    1.743                      &    0.25                 &    2             &   $-$0.87  &    $-$0.38    &    0.88     &    0.42     &    0.22      &    0.24      &    0.32      &    0.22       &    ...       &    ...       &    ...       &    ...        &    ...       &    ...       &    ...        &    ...        &    ...        &    ...        &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M18022601$-$3106232 &    -0.835               &    0.977                 &    0.326                       &    ...           &    ...              &    ...                     &    4642.16                    &    1.829                      &    0.27                 &    7             &   $-$0.82  &    $-$0.41    &    1.13     &    0.24     &    0.34      &    0.74      &    0.67      &    0.21       &    0.75      &    ...       &    ...       &    ...        &    ...       &    ...       &    ...        &    ...        &    ...        &    ...        &    ...        &    ...       &    \textit{SG-like}        \\
  2M18110406$-$2602142 &    -0.713               &    1.117                 &    0.19                        &    ...           &    ...              &    ...                     &    4418.24                    &    1.752                      &    0.0                  &    1             &   $-$0.82  &    $-$0.23    &    1.09     &    0.22     &    0.18      &    0.46      &    0.58      &    0.40       &    ...       &    ...       &    ...       &    ...        &    ...       &    ...       &    ...        &    ...        &    ...        &    ...        &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M18200243$+$0156016 &    -0.736               &    1.168                 &    0.322                       &    0.710         &    4570.84          &    1.902                   &    4047.75                    &    1.449                      &    0.16                 &    3             &   $-$0.71  &    $-$0.07    &    0.56     &    0.34     &    0.09      &    $-$0.07   &    0.22      &    $-$0.19    &    ...       &    ...       &    $-$0.56   &    $-$0.08    &    1.18      &    1.17      &    0.19       &    0.20       &    0.25       &    0.10       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M18461977$-$3021506 &    -1.002               &    0.933                 &    0.156                       &    0.197         &    4278.82          &    1.124                   &    4234.47                    &    1.584                      &    0.0                  &    1             &   $-$0.95  &    $-$0.27    &    0.84     &    0.26     &    0.04      &    0.13      &    0.22      &    0.35       &    ...       &    $<$0.04   &    $-$1.00   &    $-$0.41    &    1.10      &    0.45      &    0.08       &    0.15       &    0.21       &    0.31       &    ...        &    $<$0.09   &    \textit{FG-like/dGs}    \\
  2M18472793$-$3033242 &    -1.156               &    0.783                 &    0.101                       &    0.173         &    4640.83          &    1.628                   &    4647.83                    &    1.891                      &    0.0                  &    1             &   $-$1.06  &    ...        &    1.06     &    0.38     &    0.28      &    0.58      &    0.46      &    0.10       &    ...       &    ...       &    $-$1.15   &    ...        &    1.08      &    0.47      &    0.18       &    0.45       &    0.28       &    0.10       &    ...        &    ...       &    \textit{SG-like}        \\
  2M18502108$-$2923442 &    -1.023               &    0.832                 &    0.152                       &    0.162         &    4484.83          &    1.490                   &    4598.75                    &    1.866                      &    0.0                  &    1             &   $-$0.97  &    $-$0.27    &    1.17     &    0.46     &    0.30      &    0.66      &    0.53      &    0.37       &    ...       &    ...       &    $-$1.02   &    $-$0.30    &    1.11      &    0.37      &    0.38       &    0.68       &    0.52       &    0.24       &    ...        &    ...       &    \textit{SG-like}        \\
  2M19004420$+$4421082 &    -1.079               &    0.658                 &    0.088                       &    0.069         &    4823.72          &    2.052                   &    4813.71                    &    2.332                      &    0.16                 &    3             &   $-$1.04  &    $-$0.46    &    1.4      &    0.38     &    0.13      &    0.26      &    0.33      &    0.67       &    0.70      &    ...       &    $-$0.98   &    $-$0.49    &    1.39      &    0.38      &    0.22       &    0.31       &    0.28       &    0.56       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M20124750$+$1818007 &    -0.863               &    0.763                 &    0.157                       &    0.237         &    4827.49          &    2.216                   &    4645.88                    &    2.231                      &    0.22                 &    6             &   $-$0.83  &    $-$0.07    &    0.92     &    0.25     &    0.23      &    0.30      &    0.43      &    0.17       &    ...       &    ...       &    $-$0.79   &    $-$0.06    &    1.13      &    0.54      &    0.25       &    0.34       &    0.20       &    0.17       &    ...        &    ...       &    \textit{FG-like/dGs}    \\
  2M21181769$+$0946422 &    -1.357               &    0.783                 &    0.116                       &    0.049         &    4412.88          &    1.047                   &    4624.36                    &    1.525                      &    0.0                  &    1             &   $-$1.30  &    $-$0.52    &    1.29     &    0.57     &    0.14      &    0.26      &    0.32      &    0.25       &    ...       &    $<$0.85   &    $-$1.42   &    $-$0.55    &    1.17      &    0.34      &    0.20       &    0.25       &    0.35       &    0.18       &    ...        &    $<$0.47   &    \textit{FG-like/dGs}    \\
  2M22015914$+$1543129 &    -0.795               &    0.566                 &    0.045                       &    0.049         &    5086.80          &    2.893                   &    4744.41                    &    2.631                      &    0.26                 &    4             &   $-$0.78  &    $-$0.03    &    0.78     &    0.22     &    0.20      &    0.30      &    0.32      &    $<$0.21    &    ...       &    ...       &    $-$0.64   &    0.07       &    0.99      &    0.63      &    0.27       &    $<$0.19    &    0.28       &    $<$0.10    &    ...        &    ...       &    \textit{FG-like/dGs}    \\
